row_index,rank,feature,contribution,observed_value
816,3,f_214,-6.493305908742201e-06,0.1229
816,4,f_305,-6.222060471335214e-06,0.338
816,5,f_499,-5.705105128591786e-06,913.2251
817,1,f_139,-0.00016032854742622246,1596.1949
817,2,f_354,-0.0001425750840741718,0.1344
817,3,f_017,-0.00010016208714902337,0.9588
817,4,f_018,-7.527564993290517e-05,194.1703
817,5,f_078,-7.24237642077131e-05,0.0309
1351,1,f_577,-1.791074665156617e-05,67.3679
1351,2,f_573,-6.463411072017598e-06,1.2571
1351,3,f_575,-2.326968405492495e-06,0.3315
1351,4,f_162,-9.81539328192881e-07,14879.0
1351,5,f_164,-8.397424365758835e-07,0.295
792,1,f_132,-0.000389409008870575,2.3907
792,2,f_075,-8.386806157489054e-05,-0.0398
792,3,f_308,-6.914909846002667e-05,0.1542
792,4,f_078,-6.814274693432937e-05,0.0225
792,5,f_162,-5.5985313032457364e-05,11626.0
1166,1,f_129,-0.33925173547307413,-2.694
1166,2,f_139,-0.2072890671067989,1321.8339
1166,3,f_415,-0.2003553828841208,12.273
1166,4,f_214,-0.19654778040081577,0.133
1166,5,f_142,-0.1816638800582004,12.1
893,1,f_132,-0.002567060967962705,2.4025
893,2,f_563,-0.0008540183315302497,0.811
893,3,f_456,-0.0006698551521139066,43.4875
893,4,f_075,-0.00038304434223327457,-0.0395
893,5,f_460,-0.0003753526279124179,72.8696
876,1,f_563,-0.01904965988834444,0.8979
876,2,f_132,-0.017384213575042308,2.3936
876,3,f_548,-0.005975203031037562,80.18
876,4,f_129,-0.0038081827551238673,-1.56
876,5,f_116,-0.003199790389175881,0.9628
1003,1,f_129,-2.1449546406364357e-07,-3.543
1003,2,f_078,-1.1274036339946476e-07,0.0662
1003,3,f_448,-7.117309393872309e-08,0.8703
1003,4,f_177,-6.569978325999226e-08,1.026
1003,5,f_312,-5.6785232807787406e-08,0.435
283,1,f_145,-0.0028508888072759473,0.1473
283,2,f_146,-0.0020366513782297236,0.1925
283,3,f_281,-0.0018065612704588501,0.0597
283,4,f_280,-0.0015174423636640775,0.0415
283,5,f_060,-0.0014685940426716472,346.0564
146,1,f_064,-4.048291967502353e-05,12.6573
146,2,f_563,-3.648781931421414e-05,0.7956
146,3,f_305,-3.2965566179475916e-05,0.3615
146,4,f_017,-2.563560173669752e-05,0.9602
146,5,f_132,-2.472124257991452e-05,2.3524
1491,1,f_162,-7.315046747591327e-07,17135.0
1491,2,f_169,-7.155613246082964e-07,0.761
1491,3,f_417,-7.078969786956727e-07,17.7598
1491,4,f_440,-6.27856903602405e-07,22.4985
1491,5,f_126,-5.741367001016262e-07,2.438
557,1,f_480,-0.43145075814228306,188.8458
557,2,f_161,-0.3725062387095516,16468.0
557,3,f_078,0.3470235421409542,-0.1009
557,4,f_511,0.3402708584892118,814.2857
557,5,f_296,-0.33205651401420255,7971.4689
232,1,f_059,-0.03079494488933341,-12.0473
232,2,f_132,-0.023165837741706146,2.4
232,3,f_216,-0.008319775861362818,0.0284
232,4,f_548,-0.005989091244535172,79.856
232,5,f_480,-0.005831275784926109,137.7531
1314,1,f_086,-3.4688424997796516e-08,2.3351
1314,2,f_415,-2.6013267490703744e-08,13.868
1314,3,f_563,-2.482278203113477e-08,0.8112
1314,4,f_169,-2.1518761939366042e-08,0.848
1314,5,f_091,-2.0491570608327996e-08,-0.2372
58,1,f_164,-2.600238883867382e-06,1.801
58,2,f_299,-1.3328676764223207e-06,0.8959
58,3,f_165,-2.4912301787380314e-07,3.041
58,4,f_300,-2.2106731841914676e-07,1.5125
58,5,f_027,-1.7850224948109504e-08,2.2685
342,1,f_132,-0.28261350201442165,2.3978
342,2,f_484,-0.0804170517202038,858.1197
342,3,f_488,-0.07800561587049257,956.5217
342,4,f_027,-0.07408926652390585,4.9615
342,5,f_025,-0.0596372405928701,0.9872
549,1,f_480,-0.012135622932317474,118.2512
549,2,f_126,-0.012072164078922363,2.471
549,3,f_075,-0.01011225122385377,-0.0332
549,4,f_124,-0.00899460249341901,15.96
549,5,f_064,-0.007228916380276505,17.0309
116,1,f_075,-0.02109985840730854,-0.0695
116,2,f_448,-0.015470859669042781,0.8947
116,3,f_177,-0.014856441296516502,1.071
116,4,f_312,-0.013008520082150714,0.4572
116,5,f_132,-0.0112214328843808,2.3596
175,1,f_566,-2.9463200136868e-06,14.0141
175,2,f_564,-3.409638022706439e-07,32.58
175,3,f_568,-2.2477565188330825e-07,12.7462
175,4,f_064,-5.530829438885493e-08,12.2718
175,5,f_563,-4.8615673132548945e-08,0.8015
1361,1,f_562,-0.48562352655145935,284.922
1361,2,f_059,-0.2756409406460272,-5.68
1361,3,f_094,-0.2346859705701482,0.0005
1361,4,f_056,-0.22652971009988696,0.9166
1361,5,f_488,-0.20971670462705225,961.9048
1152,1,f_078,-9.6120865648636e-05,0.0865
1152,2,f_132,-8.600487037149822e-05,2.394
1152,3,f_129,-5.178161716547919e-05,-2.647
1152,4,f_562,-3.2241715537209465e-05,277.238
1152,5,f_548,-1.7616654381974757e-05,78.648
435,1,f_132,-0.3840506282045616,2.3737
435,2,f_059,0.3349092666564459,14.7345
435,3,f_511,0.3193331017890808,994.5946
435,4,f_169,-0.24624809853698526,0.732
435,5,f_080,0.24296678570007565,-0.1021
183,1,f_299,-3.8360091126778697e-07,1.0255
183,2,f_164,-2.7990672520310193e-07,1.799
183,3,f_300,-6.274993754558079e-08,1.8066
183,4,f_165,-3.455051892286388e-08,3.187
183,5,f_027,-2.7405926691986213e-09,1.564
795,1,f_499,-5.119059376633919e-08,987.8261
795,2,f_078,-5.0364018523677484e-08,0.029
795,3,f_020,-4.5685010864981786e-08,1.3809
795,4,f_080,-3.586919413942769e-08,0.0416
795,5,f_563,-3.1947712736079655e-08,0.7246
1225,1,f_511,0.04502711974784246,947.3684
1225,2,f_485,0.013190858394678928,759.3952
1225,3,f_132,0.010656753814198838,2.2717
1225,4,f_480,0.009905905718520125,14.4758
1225,5,f_474,0.009256939050610091,102.2423
946,1,f_129,-0.002644803998056415,-3.732
946,2,f_127,-0.00048590273868786193,0.9472
946,3,f_122,-0.0003699075534290702,5.999
946,4,f_103,-0.0003677728610231056,-0.0139
946,5,f_162,-0.0003578918705086152,14705.0
1442,1,f_547,-0.01312862427688714,382.534
1442,2,f_542,-0.008289755518265808,0.1162
1442,3,f_216,-0.007997424733373643,0.0483
1442,4,f_027,-0.00785430336934271,5.1418
1442,5,f_091,-0.0060153898181681655,-0.1397
264,1,f_480,-0.00022642072866573703,144.427
264,2,f_068,-0.00020881850250848365,155.5755
264,3,f_548,-0.00020829895621528403,80.052
264,4,f_027,-0.0001146300236248434,5.2818
264,5,f_025,-0.00011378174150775765,0.9885
1236,1,f_120,-0.015351881598509613,6.7805
1236,2,f_056,-0.007696858029353831,0.9052
1236,3,f_059,-0.004489514176225685,-6.8764
1236,4,f_562,-0.004476006102869141,279.076
1236,5,f_563,-0.0034034122277178222,0.798
1229,1,f_075,-0.09492113359868423,-0.043
1229,2,f_124,-0.06365805126576349,15.98
1229,3,f_303,-0.06294454635273763,0.0648
1229,4,f_056,-0.062394755341120635,0.9215
1229,5,f_542,-0.05897469059546467,0.1145
44,1,f_164,-0.00031866048546403953,1.804
44,2,f_299,-0.00015249111521903772,0.8884
44,3,f_165,-3.33028762599169e-05,3.1
44,4,f_300,-3.0136551953570157e-05,1.5487
44,5,f_027,-2.1029227859186565e-06,2.323
449,1,f_132,-0.004583579944497827,2.3735
449,2,f_027,-0.0018180961706884126,5.0773
449,3,f_091,-0.001618206779201744,-0.1597
449,4,f_116,-0.0016033103520759792,0.9625
449,5,f_025,-0.00147292772897066,0.9987
1316,1,f_562,-8.783725599420011e-06,299.876
1316,2,f_017,-8.724135269073721e-07,0.9539
1316,3,f_086,-6.287451704718423e-07,2.3486
1316,4,f_161,-4.987257315137686e-07,12801.0
1316,5,f_020,-4.72676936402831e-07,1.3725
31,1,f_018,-0.004427444298295722,196.7655
31,2,f_017,-0.002838431422567976,0.9582
31,3,f_448,-0.0024248948062330455,0.7494
31,4,f_177,-0.0022898015802557768,0.889
31,5,f_312,-0.0019711587527720723,0.3733
1315,1,f_132,0.3290796783632717,2.2474
1315,2,f_020,0.3067204316196928,1.4483
1315,3,f_071,0.2968446374146783,190.1821
1315,4,f_542,-0.2692208023291785,0.1173
1315,5,f_120,0.2677312622229875,6.0878
1005,1,f_577,-0.003223643838838539,96.9601
1005,2,f_573,-0.0020322634517931713,2.1967
1005,3,f_575,-0.0003072010175981274,0.5502
1005,4,f_129,-0.00010161326099243536,-2.93
1005,5,f_078,-8.272324170550216e-05,0.0644
1424,1,f_056,-0.0007554150603091229,0.9185
1424,2,f_139,-0.000613318836260266,1025.2109
1424,3,f_415,-0.0005295356018347869,10.1436
1424,4,f_103,-0.0005022032649713683,-0.0131
1424,5,f_548,-0.00046014118531817466,77.462
465,1,f_080,-0.005335717731217715,0.0836
465,2,f_484,-0.004514791890264509,985.6
465,3,f_305,-0.003670412089105566,0.3511
465,4,f_103,-0.002066548720892714,-0.0132
465,5,f_020,-0.0017668127695763575,1.3866
41,1,f_305,-0.00021180440195682268,0.3851
41,2,f_037,-0.00013908177323869849,65.3429
41,3,f_017,-8.328573604556754e-05,0.962
41,4,f_563,-7.08027470297071e-05,0.7388
41,5,f_132,-6.437098647742843e-05,2.3416
1431,1,f_020,-0.0033099054832463324,1.3614
1431,2,f_059,-0.0023421845198676773,-5.7373
1431,3,f_056,-0.0015663951043933355,0.9175
1431,4,f_499,-0.001165335675592257,897.2549
1431,5,f_542,-0.001085005503831579,0.1153
459,1,f_563,-8.866386225087728e-05,0.864
459,2,f_480,-5.200476097851105e-05,154.6593
459,3,f_080,-3.987902871900844e-05,0.0783
459,4,f_118,-2.4887456602363372e-05,0.6191
459,5,f_126,-2.013734849104174e-05,2.465
130,1,f_525,-1.5340098768724495e-06,80.0406
130,2,f_018,-1.2087438154899965e-06,200.3134
130,3,f_391,-8.937630002275368e-07,0.1345
130,4,f_086,-7.142789698709237e-07,2.3266
130,5,f_548,-5.062961205739555e-07,81.896
709,1,f_332,-5.120569587544365e-06,46.1239
709,2,f_448,-9.616658851210396e-07,0.8872
709,3,f_177,-9.049206968275093e-07,1.054
709,4,f_071,-8.124620904906617e-07,21.8203
709,5,f_312,-6.979063007532321e-07,0.4274
461,1,f_151,-2.286621828385993e-07,536.564
461,2,f_286,-1.755248697552443e-07,150.9017
461,3,f_563,-5.8909477168414156e-08,0.8931
461,4,f_424,-3.7970056268316056e-08,65.0438
461,5,f_080,-3.4948997682638305e-08,0.1083
104,1,f_480,-1.312354544627812e-05,179.5622
