feature,importance
f_087,0.005263133968522198
f_474,0.005229175401137349
f_344,0.005219103419122587
f_143,0.005216070537838275
f_564,0.005201175991910296
f_312,0.0052004549302509225
f_294,0.005159534609932184
f_048,0.005112497242368285
f_354,0.005110396963098025
f_043,0.005040757439515314
f_455,0.005003628724087788
f_495,0.0049094261909934
f_183,0.0048923785462180805
f_223,0.00488107768933052
f_102,0.0048001357184214045
f_046,0.004788408704738623
f_274,0.004748282880349865
f_221,0.004741867949542259
f_460,0.004715235928697875
f_098,0.0046470422498652575
f_377,0.004615419527461014
f_003,0.0046152625128538785
f_569,0.004500917759760118
f_575,0.004472974159305121
f_038,0.0044320202196075804
f_280,0.004423140983892103
f_093,0.00441416595337489
f_568,0.004405727852400062
f_565,0.004361880533758982
f_392,0.004339743069189973
f_456,0.004198437470251717
f_219,0.00418649281394162
f_101,0.004120659580751439
f_361,0.004084821096191814
f_486,0.004071772949788198
f_433,0.004031642411937244
f_050,0.0038795221756174306
f_545,0.003826234023760264
f_144,0.0038186034518563907
f_164,0.0038064885013973327
f_070,0.0037925628933782613
f_445,0.0037313180992233296
f_483,0.0036534750053472008
f_166,0.0036219823720735978
f_482,0.003560351228988666
f_173,0.0035527424506428627
f_113,0.0035007831301491063
f_174,0.0034563070842547165
f_023,0.003450318864270594
f_076,0.003440773139641031
f_172,0.0034261594475226316
f_270,0.0033848777497420255
f_510,0.0033804541261314397
f_549,0.003363020048873146
f_487,0.0033359079674809096
f_238,0.0033352853506176
f_555,0.0032948532503246303
f_376,0.003274279514676048
f_468,0.0032701301888630433
f_586,0.0032192179934049337
f_165,0.0032132108550519405
f_044,0.0032036064295321316
f_146,0.003146912899974419
f_215,0.003144446543031552
f_063,0.0031342896074569174
f_299,0.003134007916690523
f_560,0.0030804865536134016
f_039,0.0030796944747750136
f_443,0.003037250619096297
f_089,0.0030346727881385856
f_054,0.0030023941485206487
f_205,0.0029919761462408436
f_300,0.002963759562869897
f_430,0.00293479529000316
f_171,0.0029240751505296967
f_559,0.0029121065027627032
f_128,0.0028918051458153445
f_125,0.002762512695997262
f_291,0.0027621676603664653
f_210,0.0027420431045564572
f_053,0.002737417265006341
f_167,0.0027243932534011823
f_289,0.0027170928072558238
f_444,0.0026970553914760806
f_304,0.002685245681627871
f_273,0.0026755853545280183
f_368,0.0026474297403319205
f_359,0.002623637653423057
f_278,0.0025880329497187473
f_279,0.0025690116956619893
f_255,0.0025502845952855226
f_317,0.002504502484913522
f_452,0.002478434411107505
f_407,0.0024251814021527826
f_200,0.0023609728040465596
f_010,0.0023250028012564137
f_066,0.0023222710732592054
f_281,0.0023185307735319708
f_116,0.002254421643219503
f_411,0.002241568193130394
f_355,0.00221560181149415
f_077,0.0021853739456778286
f_416,0.002140580695969009
f_388,0.0021350259389549963
