feature,importance
f_168,0.0005905865493294121
f_084,0.0005853479108071359
f_105,0.0005816872843334405
f_079,0.0005762179266314519
f_026,0.0005752782395690645
f_131,0.0005723605921241739
f_135,0.0005722916909290804
f_424,0.0005649102021552277
f_340,0.0005636105567891173
f_300,0.0005625258586935225
f_113,0.0005605014473536265
f_582,0.0005566717756113022
f_268,0.0005562536471714601
f_017,0.0005551984939696963
f_134,0.0005535033307592594
f_366,0.0005533371692308116
f_527,0.0005531090528523178
f_239,0.000551801280665682
f_559,0.000549725991285715
f_444,0.000549447969798393
f_116,0.00054798608401814
f_324,0.0005393357001523576
f_161,0.0005390128917385339
f_487,0.0005377690277042051
f_511,0.0005293916013189951
f_348,0.0005292958580615048
f_388,0.0005286057091258751
f_472,0.0005266496921153664
f_490,0.000524852424374099
f_163,0.0005233817793769072
f_272,0.0005218939776194596
f_425,0.0005215645247103766
f_540,0.0005180169634901714
f_254,0.000516622807831468
f_003,0.0005155914625719288
f_440,0.0005149660914100343
f_100,0.0005147810646956932
f_273,0.0005131399004104551
f_027,0.0005116189530900901
f_298,0.0005103630902229046
f_016,0.0005074056201527779
f_146,0.0005050478933188362
f_386,0.0005034879446383933
f_055,0.0005017180130641865
f_491,0.00049936476296277
f_118,0.0004993247793025492
f_496,0.0004986436464449578
f_227,0.0004961130297373443
f_170,0.0004959244980726355
f_018,0.0004955148722883048
f_467,0.0004945062292835311
f_349,0.00049331210752524
f_541,0.0004919849922059776
f_523,0.0004912606146275352
f_006,0.0004899243068421956
f_023,0.0004796930566476779
f_043,0.0004786822271973812
f_368,0.00047708220323058046
f_145,0.0004765381529292046
f_223,0.00047639145434400746
f_127,0.000475599565321518
f_267,0.00047535117276391016
f_054,0.00047476939147217444
f_176,0.0004746942568209395
f_280,0.00047338308757632896
f_012,0.00047230769218858893
f_252,0.00047225250262480136
f_207,0.0004716485231882952
f_030,0.0004711978306685984
f_585,0.00046831115433107256
f_047,0.00046736681831765977
f_311,0.0004669162228776003
f_312,0.00046540385041854134
f_132,0.0004640810788531189
f_474,0.00046340970826514745
f_493,0.0004619536070864173
f_171,0.00045985204038400665
f_181,0.00045955323787154226
f_251,0.0004592781199045509
f_039,0.00045502142247401953
f_426,0.00045382604938923256
f_588,0.0004532780994441784
f_172,0.00045264352713311984
f_034,0.00045143156875052657
f_363,0.0004492215515228796
f_201,0.0004464452133095084
f_305,0.0004438124185844554
f_576,0.00044091776067699154
f_151,0.00044089576179064187
f_484,0.0004396070616421581
f_554,0.0004382987123487385
f_068,0.00043668440551797473
f_148,0.00043633603606521234
f_483,0.00043597432720231456
f_238,0.000435784560036512
f_253,0.00043283079252606657
f_524,0.0004299529069815539
f_547,0.0004294585497888136
f_217,0.000426548676872087
f_393,0.0004215236962560493
f_485,0.0004147986172952068
f_188,0.0004131245148376001
f_586,0.00041237379027581224
f_320,0.0004123188437641518
f_041,0.00041229999197465295
f_156,0.0004119688136860543
f_411,0.00041034438916875136
f_199,0.0004094845358898252
f_053,0.00040838933548858103
f_575,0.0004048189037607603
f_218,0.0004026153042383486
f_184,0.00039990152844327946
f_416,0.00039926501151545487
f_165,0.0003964438287594935
f_480,0.00039536495448054304
f_560,0.00039501674612439506
f_173,0.0003949847426242385
