model,feature,selected_folds,fraction
logistic_full_C01,f_167,15,1.0
logistic_full_C01,f_168,15,1.0
logistic_full_C01,f_169,15,1.0
logistic_full_C01,f_170,15,1.0
logistic_full_C01,f_171,15,1.0
logistic_full_C01,f_172,15,1.0
logistic_full_C01,f_173,15,1.0
logistic_full_C01,f_174,15,1.0
logistic_full_C01,f_175,15,1.0
logistic_full_C01,f_176,15,1.0
logistic_full_C01,f_177,15,1.0
logistic_full_C01,f_180,15,1.0
logistic_full_C01,f_181,15,1.0
logistic_full_C01,f_182,15,1.0
logistic_full_C01,f_183,15,1.0
logistic_full_C01,f_184,15,1.0
logistic_full_C01,f_185,15,1.0
logistic_full_C01,f_187,15,1.0
logistic_full_C01,f_188,15,1.0
logistic_full_C01,f_195,15,1.0
logistic_full_C01,f_196,15,1.0
logistic_full_C01,f_197,15,1.0
logistic_full_C01,f_198,15,1.0
logistic_full_C01,f_199,15,1.0
logistic_full_C01,f_200,15,1.0
logistic_full_C01,f_201,15,1.0
logistic_full_C01,f_202,15,1.0
logistic_full_C01,f_203,15,1.0
logistic_full_C01,f_204,15,1.0
logistic_full_C01,f_205,15,1.0
logistic_full_C01,f_206,12,0.8
logistic_full_C01,f_207,15,1.0
logistic_full_C01,f_208,15,1.0
logistic_full_C01,f_209,12,0.8
logistic_full_C01,f_210,15,1.0
logistic_full_C01,f_211,15,1.0
logistic_full_C01,f_212,15,1.0
logistic_full_C01,f_213,15,1.0
logistic_full_C01,f_214,15,1.0
logistic_full_C01,f_215,15,1.0
logistic_full_C01,f_216,15,1.0
logistic_full_C01,f_217,15,1.0
logistic_full_C01,f_218,15,1.0
logistic_full_C01,f_219,15,1.0
logistic_full_C01,f_221,15,1.0
logistic_full_C01,f_222,15,1.0
logistic_full_C01,f_223,15,1.0
logistic_full_C01,f_224,15,1.0
logistic_full_C01,f_225,15,1.0
logistic_full_C01,f_227,15,1.0
logistic_full_C01,f_228,15,1.0
logistic_full_C01,f_238,15,1.0
logistic_full_C01,f_239,15,1.0
logistic_full_C01,f_248,15,1.0
logistic_full_C01,f_249,15,1.0
logistic_full_C01,f_250,15,1.0
logistic_full_C01,f_251,15,1.0
logistic_full_C01,f_252,15,1.0
logistic_full_C01,f_253,15,1.0
logistic_full_C01,f_254,15,1.0
logistic_full_C01,f_255,15,1.0
logistic_full_C01,f_267,15,1.0
logistic_full_C01,f_268,15,1.0
logistic_full_C01,f_269,15,1.0
